2024-01-21 17:14:40.618 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-01-21 17:14:40.618 [info] Added views:workbench.panel.output in workbench.panel.output
2024-01-21 17:14:40.618 [info] Added views:terminal in terminal
2024-01-21 17:14:40.618 [info] Added views:outline in workbench.view.explorer
2024-01-21 17:14:40.618 [info] Added views:workbench.scm in workbench.view.scm
2024-01-21 17:14:40.618 [info] Added views:workbench.view.search in workbench.view.search
2024-01-21 17:14:40.618 [info] Added views:timeline in workbench.view.explorer
2024-01-21 17:14:40.618 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-01-21 17:14:40.784 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:14:41.110 [info] Added views:pr:github,issues:github in workbench.view.extension.github-pull-requests
2024-01-21 17:14:41.534 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-01-21 17:14:41.946 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-01-21 17:14:42.498 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-01-21 17:15:00.462 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-01-21 17:15:03.336 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:03.356 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:10.156 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:10.174 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:11.190 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:11.204 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:12.007 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:12.028 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:21.818 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:21.835 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:33.831 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:33.849 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:34.872 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:34.886 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:35.508 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:35.527 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:35.668 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:35.680 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:37.176 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:37.198 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:43.967 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:43.980 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:55.320 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-01-21 17:15:55.337 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-01-21 17:15:56.385 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-01-21 17:15:56.397 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-01-21 17:15:59.526 [info] Removed views:workbench.view.testing from workbench.view.extension.test
